RuleID,Code,Category,Parameters,Description,CleanedDescription,Cluster,BaseRuleID,VersionGroup
DQRA0194,"<data>.apply(lambda x: x[cde] in <#>catalog<#>[<#>key<#>].values if x[<#>Column1<#>] in <#>Lista<#> else True, axis=1)",Validity,"['catalog', 'key', 'Column1', 'Lista']","Ensures that the value in <cde> exists in a specified catalog (<#>catalog<#>) based on a key (<#>key<#>), but only if the value in <#>Column1<#> is part of a given list (<#>Lista<#>). If not in the list, the rule returns True without checking.","Ensures that the value in <cde> exists in a specified catalog () based on a key (), but only if the value in  is part of a given list (). If not in the list, the rule returns True without checking.",0,DQRA0194,0
DQRAI0094,"<data>[[cde]].apply(lambda x: True if (x[cde].startswith(<#>startIndx<#>)) else False, axis = 1)",Consistency,['startIndx'],"Verifies that the value in <cde> starts with a specified prefix (<#>startIndx<#>). Returns True if the condition is met; otherwise, returns False.","Verifies that the value in <cde> starts with a specified prefix (). Returns True if the condition is met; otherwise, returns False.",0,DQRAI0094,1
DQRC0001,"<data>.apply(lambda x: (not pd.isnull(x[cde])) & (len(str(x[cde]).strip()) > 0),axis=1)",Completeness,[],Checks that the value in <cde> is not null and contains non-whitespace characters. This ensures completeness and validity of the field.,Checks that the value in <cde> is not null and contains non-whitespace characters. This ensures completeness and validity of the field.,0,DQRC0001,2
DQRC0001_01,"<data>.apply(lambda x: (not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 0),axis=1)",Completeness,"['Column1', 'Column1']",Similar to DQRC0001 but applies the completeness and validity check to <#>Column1<#> instead of <cde>.,Similar to DQRC0001 but applies the completeness and validity check to  instead of <cde>.,0,DQRC0001,2
DQRC0001_02,<data>.fillna({<#>bde_risk<#>: ' '}).apply(lambda x: (not pd.isnull(x[cde])) & (len(str(x[cde]).strip()) > 0),Completeness,['bde_risk'],"Completeness check for <cde>, where missing values are first replaced in <#>bde_risk<#> with a default value (' '), ensuring non-null and non-empty values after substitution.","Completeness check for <cde>, where missing values are first replaced in  with a default value (' '), ensuring non-null and non-empty values after substitution.",0,DQRC0001,2
DQRC0001_02_B,"<data>.fillna({bde_cis: 0, bde_risk: ' '}).apply(lambda x: (not pd.isnull(x[cde])) & (len(str(x[cde]).strip()) > 0) ((x[bde_fec]<fec_v) & (x[bde_risk]==risk_v)),axis=1)",Completeness,[],"Performs a completeness check on <cde>, with additional conditions: <bde_fec> must be less than a specific value (fec_v) and <bde_risk> must equal a specific value (risk_v). Missing values in <bde_cis> and <bde_risk> are replaced with defaults (0 and ' ', respectively).","Performs a completeness check on <cde>, with additional conditions: <bde_fec> must be less than a specific value (fec_v) and <bde_risk> must equal a specific value (risk_v). Missing values in <bde_cis> and <bde_risk> are replaced with defaults (0 and ' ', respectively).",0,DQRC0001_02_B,3
DQRC0001_03,"<data>[[<#>bde_risk<#>,cde]].apply(lambda x: str(x[cde]) in(<#>ListValues1<#>) if (str(x[<#>bde_risk<#>]) in(<#>List1<#>)) else True, axis = 1)",Other,"['bde_risk', 'ListValues1', 'bde_risk', 'List1']","Checks that <cde> belongs to a specific list of valid values (<#>ListValues1<#>) only if <#>bde_risk<#> is part of another list (<#>List1<#>). If <#>bde_risk<#> does not match the list, the rule returns True.","Checks that <cde> belongs to a specific list of valid values () only if  is part of another list (). If  does not match the list, the rule returns True.",0,DQRC0001,2
DQRC0001_4,"<data>.apply(lambda x: ((not pd.isnull(x[cde])) & (len(str(x[cde]).strip()) > 0)) if (x[<#>Column1<#>] <#>Operator1<#> <#>Value1<#>) else True,axis=1)",Completeness,"['Column1', 'Operator1', 'Value1']","Ensures <cde> is non-null and non-empty, but only if <#>Column1<#> meets a specified condition (<#>Operator1<#> <#>Value1<#>). Otherwise, the rule passes without further checks.","Ensures <cde> is non-null and non-empty, but only if  meets a specified condition ( ). Otherwise, the rule passes without further checks.",0,DQRC0001,2
DQRC0001_41,"<data>.apply(lambda x: (pd.isnull(x[cde])) if (float(x[<#>Column1<#>]) <#>Operator1<#> <#>Value1<#>) else True, axis=1)",Other,"['Column1', 'Operator1', 'Value1']",Checks for null values in <cde> only when <#>Column1<#> satisfies a numerical condition defined by <#>Operator1<#> and <#>Value1<#>.,Checks for null values in <cde> only when  satisfies a numerical condition defined by  and .,0,DQRC0001,2
DQRC0001_6,(~<data>[cde].isnull()) & (<data>[<#>Column1<#>] <#>Operator<#> <#>Value<#>),Other,"['Column1', 'Operator', 'Value']","Ensures <cde> is not null, while also verifying that <#>Column1<#> satisfies a specified condition (<#>Operator<#> <#>Value<#>).","Ensures <cde> is not null, while also verifying that  satisfies a specified condition ( ).",0,DQRC0001,2
DQRC0002,<data>[cde].apply(lambda x:len(x.split()[0])==<#>NoChars<#>),Other,['NoChars'],Validates that the first segment (before the first space) of the value in <cde> has a length equal to <#>NoChars<#>.,Validates that the first segment (before the first space) of the value in <cde> has a length equal to .,0,DQRC0002,4
DQRC0021,<data>.apply(lambda x: (pd.isnull(x[cde])),Other,[],"Checks if the value in <cde> is null. Returns True if null, and False otherwise.","Checks if the value in <cde> is null. Returns True if null, and False otherwise.",0,DQRC0021,5
DQRC0025_2,(((<data>[<#>TipoPersona<#>] == <#>Fisica<#>) & (~pd.isnull(<data>[cde]))),Other,"['TipoPersona', 'Fisica']","Ensures that if <#>TipoPersona<#> equals <#>Fisica<#>, the value in <cde> must not be null. Otherwise, the rule passes.","Ensures that if  equals , the value in <cde> must not be null. Otherwise, the rule passes.",0,DQRC0025,6
DQRC0044,"( <data>.apply(lambda x: (not pd.isnull(x[cde])) & (len(str(x[cde]).strip()) > 0),axis=1) )",Completeness,[],Checks if the value in <cde> is non-null and contains non-whitespace characters. Ensures completeness of the field.,Checks if the value in <cde> is non-null and contains non-whitespace characters. Ensures completeness of the field.,0,DQRC0044,7
DQRC0055,(((<data>[<#>TipoPersona<#>] == <#>Fisica<#>) & (~pd.isnull(<data>[cde]))),Other,"['TipoPersona', 'Fisica']","Similar to DQRC0025_2, but checks that <cde> is not null when <#>TipoPersona<#> equals <#>Fisica<#>.","Similar to DQRC0025_2, but checks that <cde> is not null when  equals .",0,DQRC0055,8
DQRC0068,<data>.apply(lambda x: (((not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 0)),Completeness,"['Column1', 'Column1']",Validates that <#>Column1<#> is non-null and contains non-whitespace characters. Ensures the field is complete.,Validates that  is non-null and contains non-whitespace characters. Ensures the field is complete.,0,DQRC0068,9
DQRC0074,"<data>.apply(lambda x: ((not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 0)) if ((pd.isnull(x[cde])) or (len(str(x[cde]).strip()) == 0)) else True ,axis=1)",Completeness,"['Column1', 'Column1']","Ensures <#>Column1<#> is non-null and non-empty only when <cde> is null or empty. Otherwise, the rule passes.","Ensures  is non-null and non-empty only when <cde> is null or empty. Otherwise, the rule passes.",0,DQRC0074,10
DQRC0081,"<data>.apply(lambda x: ((not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 0)) if ((pd.isnull(x[cde])) or (len(str(x[cde]).strip()) == 0)) else True ,axis=1)",Completeness,"['Column1', 'Column1']","Similar to DQRC0074, but focuses on validating <#>Column1<#> only when <cde> is null or empty. Ensures consistency between the two columns.","Similar to DQRC0074, but focuses on validating  only when <cde> is null or empty. Ensures consistency between the two columns.",0,DQRC0081,11
DQRC0093,"<data>.apply(lambda x: ((not pd.isnull(x[cde])) and (len(str(x[cde]).strip()) > 0)) if (x[<#>Column1<#>] in (<#>Lista<#>) and x[<#>Column2<#>] in (<#>Lista1<#>) and x[<#>Column3<#>] in (<#>Lista2<#>)) else True ,axis=1)",Completeness,"['Column1', 'Lista', 'Column2', 'Lista1', 'Column3', 'Lista2']","Checks that <cde> is non-null and non-empty when <#>Column1<#>, <#>Column2<#>, and <#>Column3<#> all belong to their respective lists <#>Lista<#>, <#>Lista1<#>, and <#>Lista2<#>. Otherwise, the rule passes.","Checks that <cde> is non-null and non-empty when , , and  all belong to their respective lists , , and . Otherwise, the rule passes.",0,DQRC0093,12
DQRC0094,"<data>.apply(lambda x: ((not pd.isnull(x[cde])) and (len(str(x[cde]).strip()) > 0)) if (x[<#>Column1<#>] in (<#>Lista<#>) and x[<#>Column2<#>] in (<#>Lista1<#>)) else True ,axis=1)",Completeness,"['Column1', 'Lista', 'Column2', 'Lista1']",Similar to DQRC0093 but considers only <#>Column1<#> and <#>Column2<#> against <#>Lista<#> and <#>Lista1<#>. Ensures <cde> is non-null and non-empty if the condition is met.,Similar to DQRC0093 but considers only  and  against  and . Ensures <cde> is non-null and non-empty if the condition is met.,0,DQRC0094,13
DQRC0118,"<data>.apply(lambda x: ((not pd.isnull(x[cde])) and (len(str(x[cde]).strip()) > 0)) if ((not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 1) and (not pd.isnull(x[<#>Column2<#>])) & (len(str(x[<#>Column2<#>]).strip()) > 1) and (not pd.isnull(x[<#>Column3<#>])) & (len(str(x[<#>Column3<#>]).strip()) > 0)) else True ,axis=1)",Completeness,"['Column1', 'Column1', 'Column2', 'Column2', 'Column3', 'Column3']","Ensures that <cde> is non-null and non-empty, but only if <#>Column1<#>, <#>Column2<#>, and <#>Column3<#> are all non-null and meet their respective minimum character length conditions. If any of these conditions are not met, the rule passes.","Ensures that <cde> is non-null and non-empty, but only if , , and  are all non-null and meet their respective minimum character length conditions. If any of these conditions are not met, the rule passes.",0,DQRC0118,14
DQRC0120,"<data>.apply(lambda x: (str(x[cde]).strip() != 'None') if ((not pd.isnull(x[cde])) and (len(str(x[cde]).strip()) > 0)) else True ,axis=1)",Completeness,[],Validates that the value in <cde> is neither null nor the string 'None'. This ensures the field contains valid and meaningful data.,Validates that the value in <cde> is neither null nor the string 'None'. This ensures the field contains valid and meaningful data.,0,DQRC0120,15
DQRC0179,"<data>.apply(lambda x: ((not pd.isnull(x[cde])) and (len(str(x[cde]).strip()) > 0)) if str(x[<#>Column1<#>])=='MEXICO' else True ,axis=1)",Completeness,['Column1'],"Ensures <cde> is non-null and non-empty when <#>Column1<#> equals 'MEXICO'. Otherwise, the rule passes without validation.","Ensures <cde> is non-null and non-empty when  equals 'MEXICO'. Otherwise, the rule passes without validation.",0,DQRC0179,16
DQRC0274,"<data>.apply(lambda x: ((not pd.isnull(x[<#>Column1<#>])) & (len(str(x[<#>Column1<#>]).strip()) > 0)) if ((pd.isnull(x[cde])) or (len(str(x[cde]).strip()) == 0)) else True ,axis=1)",Completeness,"['Column1', 'Column1']",Validates <#>Column1<#> to be non-null and non-empty only when <cde> is null or empty. Ensures consistency between the two columns.,Validates  to be non-null and non-empty only when <cde> is null or empty. Ensures consistency between the two columns.,0,DQRC0274,17
DQRCY0012,<data>[cde].str.strip() <#>Operator<#> <data>[<#>Column1<#>].str.strip(),Completeness,"['Operator', 'Column1']",Compares the stripped string value of <cde> against the stripped value of <#>Column1<#> using a specified operator (<#>Operator<#>). Ensures both fields meet the operator condition.,Compares the stripped string value of <cde> against the stripped value of  using a specified operator (). Ensures both fields meet the operator condition.,0,DQRCY0012,18
DQRCY0013,<data>[cde] <#>Operator<#> <data>[<#>Column1<#>],Other,"['Operator', 'Column1']",Compares the value of <cde> against <#>Column1<#> using a specified operator (<#>Operator<#>). Validates their relationship based on the operator.,Compares the value of <cde> against  using a specified operator (). Validates their relationship based on the operator.,0,DQRCY0013,19
DQRCY0013_1,"<data>[[cde,<#>Column1<#>,<#>Column2<#>]].astype(float).apply(lambda x: x[cde] <#>Operator1<#> x[<#>Column2<#>] if x[<#>Column1<#>] in <#>ListValues1<#> else True, axis=1)",Validity,"['Column1', 'Column2', 'Operator1', 'Column2', 'Column1', 'ListValues1']","Validates <cde> against <#>Column2<#> using a specified operator (<#>Operator1<#>), but only if <#>Column1<#> belongs to a given list (<#>ListValues1<#>). Otherwise, the rule passes.","Validates <cde> against  using a specified operator (), but only if  belongs to a given list (). Otherwise, the rule passes.",0,DQRCY0013,19
DQRCY0017,<data>[cde].astype(float) <#>Operator<#> <data>[<#>Column1<#>].astype(float),Other,"['Operator', 'Column1']",Compares the float value of <cde> against the float value of <#>Column1<#> using a specified operator (<#>Operator<#>). Ensures numerical consistency between the fields.,Compares the float value of <cde> against the float value of  using a specified operator (). Ensures numerical consistency between the fields.,0,DQRCY0017,20
DQRCY0020,(<data>[<#>Column1<#>].isin([<#>ListValues1<#>])) & (<data>[cde].astype(str).isin([<#>ListValues2<#>])),Validity,"['Column1', 'ListValues1', 'ListValues2']",Checks that <#>Column1<#> is in a list of valid values (<#>ListValues1<#>) and <cde> belongs to another list (<#>ListValues2<#>). Both conditions must be met for the rule to pass.,Checks that  is in a list of valid values () and <cde> belongs to another list (). Both conditions must be met for the rule to pass.,0,DQRCY0020,21
DQRCY0027,cde = DataElement,Other,[],"Specifies that the column <cde> corresponds to the data element ""DataElement."" This acts as a metadata mapping rule.","Specifies that the column <cde> corresponds to the data element ""DataElement."" This acts as a metadata mapping rule.",0,DQRCY0027,22
DQRCY0042,"( (<data>[<#>TipoPersona<#>] == <#>Fisica<#>) & ( <data>.fillna('~').apply(lambda x: re.findall(x[cde]+'$',(x[<#>Column1<#>])),axis=1).astype(bool)))",Other,"['TipoPersona', 'Fisica', 'Column1']","Ensures that if <#>TipoPersona<#> equals <#>Fisica<#>, then the value in <cde> should match the end of the value in <#>Column1<#>. Null values in <#>Column1<#> are replaced with ~ before checking.","Ensures that if  equals , then the value in <cde> should match the end of the value in . Null values in  are replaced with ~ before checking.",0,DQRCY0042,23
DQRCY0043,"( (<data>[<#>TipoPersona<#>] == <#>Fisica<#>) & ( <data>.fillna('~').apply(lambda x: re.findall('^'+x[cde],(x[<#>Column1<#>])),axis=1).astype(bool)))",Other,"['TipoPersona', 'Fisica', 'Column1']","Ensures that if <#>TipoPersona<#> equals <#>Fisica<#>, then the value in <cde> should match the beginning of the value in <#>Column1<#>. Null values in <#>Column1<#> are replaced with ~ before checking.","Ensures that if  equals , then the value in <cde> should match the beginning of the value in . Null values in  are replaced with ~ before checking.",0,DQRCY0043,24
DQRCY0053,"<data>.apply(lambda x: (datetime.strptime(x[cde],<#>frmtCDEDte<#>) - datetime.strptime(x[<#>Column1<#>],<#>frmtColumnDte<#>)).days == 0,axis=1)",Other,"['frmtCDEDte', 'Column1', 'frmtColumnDte']","Checks if the date in <cde> matches the date in <#>Column1<#>, ensuring the difference in days between the two dates is zero. The comparison uses specified date formats <#>frmtCDEDte<#> and <#>frmtColumnDte<#>.","Checks if the date in <cde> matches the date in , ensuring the difference in days between the two dates is zero. The comparison uses specified date formats  and .",0,DQRCY0053,25
DQRCY0054,( (<data>[<#>TipoPersona<#>] == <#>Fisica<#>) & ( <data>[cde] == <data>[<#>Column1<#>] ) ),Other,"['TipoPersona', 'Fisica', 'Column1']","Ensures that if <#>TipoPersona<#> equals <#>Fisica<#>, the value in <cde> must be equal to the value in <#>Column1<#>.","Ensures that if  equals , the value in <cde> must be equal to the value in .",0,DQRCY0054,26
DQRCY0061,"(<data>.fillna('~').apply(lambda x: re.findall('^['+x[cde]+']',(x[<#>Column1<#>])),axis=1).astype(bool))",Other,['Column1'],Validates that the beginning characters of <#>Column1<#> match any characters in <cde>. Null values in <#>Column1<#> are replaced with ~ before the match.,Validates that the beginning characters of  match any characters in <cde>. Null values in  are replaced with ~ before the match.,0,DQRCY0061,27
DQRCY0062,"(<data>.fillna('~').apply(lambda x: re.findall('['+x[cde]+']$',(x[<#>Column1<#>])),axis=1).astype(bool))",Other,['Column1'],Validates that the ending characters of <#>Column1<#> match any characters in <cde>. Null values in <#>Column1<#> are replaced with ~ before the match.,Validates that the ending characters of  match any characters in <cde>. Null values in  are replaced with ~ before the match.,0,DQRCY0062,28
DQRCY0073,"<data>[[cde,<#>Column1<#>]].fillna('').apply(lambda x: x[cde] <#>Operator<#> x[<#>Column1<#>] if ( re.search(<#>pattern<#>,x[<#>Column1<#>]) ) or len(str(x[cde])) > 0 else True ,axis=1).astype(bool)",Other,"['Column1', 'Operator', 'Column1', 'pattern', 'Column1']",Compares <cde> and <#>Column1<#> using a specified operator (<#>Operator<#>) if <#>Column1<#> matches a given pattern (<#>pattern<#>) or <cde> is non-empty. Null values are replaced with an empty string for validation.,Compares <cde> and  using a specified operator () if  matches a given pattern () or <cde> is non-empty. Null values are replaced with an empty string for validation.,0,DQRCY0073,29
DQRCY0091,"(<data>.fillna('~').apply(lambda x: re.findall('^'+re.sub(""*",Other,[],"Ensures that the beginning of <#>Column1<#> matches a transformed version of <cde>, with a placeholder for incomplete pattern logic.","Ensures that the beginning of  matches a transformed version of <cde>, with a placeholder for incomplete pattern logic.",0,DQRCY0091,30
